country,region,city
India,Delhi,New Delhi
India,Maharashtra,Mumbai
India,Maharashtra,Pune
India,Karnataka,Bengaluru
India,Tamil Nadu,Chennai
India,Telangana,Hyderabad
India,West Bengal,Kolkata
India,Gujarat,Ahmedabad
India,Rajasthan,Jaipur
India,Uttar Pradesh,Lucknow
India,Uttar Pradesh,Kanpur
India,Uttar Pradesh,Prayagraj
India,Uttar Pradesh,Varanasi
India,Uttar Pradesh,Agra
India,Madhya Pradesh,Indore
India,Bihar,Patna
India,Punjab,Amritsar
India,Haryana,Gurugram
India,Kerala,Kochi
India,Goa,Panaji
United States,California,Los Angeles
United States,California,San Francisco
United States,New York,New York
United States,Texas,Houston
United States,Texas,Austin
United States,Illinois,Chicago
United States,Washington,Seattle
United States,Florida,Miami
United Kingdom,England,London
United Kingdom,England,Manchester
United Kingdom,Scotland,Edinburgh
United Kingdom,Scotland,Glasgow
Canada,Ontario,Toronto
Canada,Quebec,Montreal
Canada,British Columbia,Vancouver
Australia,New South Wales,Sydney
Australia,Victoria,Melbourne
Australia,Queensland,Brisbane
Japan,Tokyo,Tokyo
Japan,Osaka,Osaka
Japan,Kyoto,Kyoto
United Arab Emirates,Dubai,Dubai
Singapore,Singapore,Singapore
