recipe_id,name,meal_type,cuisine,regions,season,diet,goal_tags,weather_tags,ingredients
R001,Vegetable Poha,Breakfast,Indian,West India,All,Vegan,general wellness;better energy,hot;mild,Poha:70;Peanuts:10;Onion:40;Tomato:50;Green peas:40;Lemon:10
R002,Besan Chilla with Curd,Breakfast,Indian,North India,All,Vegetarian,high protein;better energy,mild;hot,Besan (chickpea flour):70;Onion:30;Tomato:30;Spinach:30;Curd:100
R003,Moong Dal Chilla,Breakfast,Indian,North India,All,Vegan,high protein;better energy,mild;hot,Moong dal:70;Onion:30;Tomato:30;Coriander leaves:10
R004,Ragi Banana Bowl,Breakfast,Indian,South India,All,Vegan,better energy;general wellness,hot;mild,Ragi flour:50;Banana:100;Peanuts:15;Coconut:15
R005,Overnight Oats with Banana,Breakfast,Global,Global,All,Vegetarian,general wellness;better energy,hot;mild,Oats:50;Milk:200;Banana:100;Chia seeds:10;Almonds:10
R006,Greek Yogurt Fruit Bowl,Breakfast,Global,Global,All,Vegetarian,high protein;general wellness,hot;mild,Greek yogurt:200;Apple:100;Chia seeds:10;Walnuts:10
R007,Masala Egg & Veg Toast,Breakfast,Indian,India,All,Eggetarian,high protein;better energy,mild;hot,Egg:100;Whole wheat bread:70;Tomato:40;Bell pepper:40;Onion:30
R008,Tofu Veggie Scramble,Breakfast,Global,Global,All,Vegan,high protein;weight management,hot;mild,Tofu:150;Tomato:50;Spinach:50;Bell pepper:40;Olive oil:5
R009,Bajra Vegetable Chilla,Breakfast,Indian,West India,All,Vegan,general wellness;weight management,cold;mild,Bajra flour:60;Onion:30;Carrot:30;Spinach:30;Curd:80
R010,Idli with Sambar-Style Dal,Breakfast,Indian,South India,All,Vegan,general wellness;better energy,hot;mild,Idli rice:70;Toor dal:50;Tomato:60;Carrot:40;Onion:30
R011,Chickpea Salad Bowl,Lunch,Global,Global,All,Vegan,high protein;weight management,hot;mild,Chickpeas:150;Cucumber:80;Tomato:80;Onion:30;Lemon:15;Coriander leaves:10
R012,Rajma Brown Rice Bowl,Lunch,Indian,North India,All,Vegan,high protein;better energy,cold;mild,Rajma:120;Brown rice:120;Tomato:70;Onion:40;Coriander leaves:10
R013,Dal Tadka with Rice,Lunch,Indian,India,All,Vegan,general wellness;better energy,cold;mild,Toor dal:100;Basmati rice:120;Tomato:60;Onion:40;Garlic:5;Mustard oil:5
R014,Palak Paneer with Roti,Lunch,Indian,North India,Winter,Vegetarian,high protein;general wellness,cold;mild,Spinach:120;Paneer:100;Whole wheat atta:80;Tomato:60;Onion:40
R015,Chole with Whole Wheat Roti,Lunch,Indian,North India,All,Vegan,high protein;better energy,cold;mild,Chickpeas:130;Whole wheat atta:80;Tomato:60;Onion:40;Coriander leaves:10
R016,Mixed Vegetable Quinoa Bowl,Lunch,Global,Global,All,Vegan,weight management;general wellness,hot;mild,Quinoa:100;Broccoli:70;Carrot:60;Bell pepper:60;Chickpeas:80;Olive oil:5
R017,Tofu Brown Rice Stir-Fry,Lunch,Global,Global,All,Vegan,high protein;weight management,hot;mild,Tofu:150;Brown rice:120;Broccoli:70;Bell pepper:60;Mushrooms:60;Olive oil:5
R018,Chicken Rice Bowl,Lunch,Global,Global,All,Non-vegetarian,high protein;better energy,hot;mild,Chicken breast:150;Brown rice:120;Cucumber:60;Carrot:50;Tomato:50;Lemon:10
R019,Fish Rice & Cucumber Bowl,Lunch,Indian,Coastal India,All,Non-vegetarian,high protein;general wellness,hot;mild,Fish:150;Basmati rice:120;Cucumber:80;Tomato:50;Coconut:15;Lemon:10
R020,Egg & Chickpea Salad,Lunch,Global,Global,All,Eggetarian,high protein;weight management,hot;mild,Egg:100;Chickpeas:100;Cucumber:70;Tomato:70;Lemon:15
